"","295","464","961","1000","1076","1078","1150","1153","1162","1256","1259","1262","1276","1283","1365","1381","1387","1414","1553"
"NSCLC_A549_1",1246686.524,59929.70461,205990.1024,141932.6728,1581944.95,888762.255,2010901.874,646161.3985,308624.572,1226676.022,432775.5161,1682597.289,616102.1974,90521.64522,587233.2752,1664931.401,624615.6967,645473.192,686730.5097
"NSCLC_H1703_2",1338013.461,89261.66256,245504.4646,153877.9564,1540255.324,692656.8931,1551694.853,516276.2156,405340.4733,1604223.193,576127.4046,1399125.584,508743.2592,65972.45613,988882.9688,2281045.486,860709.5233,293504.7109,940825.2406
"NSCLC_H1703_1",1040438.105,96002.36973,321302.7635,184414.1863,1638339.884,740586.5405,1437951.238,482798.776,389654.6384,1555350.658,555434.0826,1378829.209,497591.375,68732.01593,1002957.366,2026722.484,765475.8487,313811.6234,1086556.334
"NSCLC_A549_2",1371135.588,81436.65785,299820.7353,261578.5732,1730887.909,1144259.294,2272554.651,773292.3518,362162.4799,1359538.194,495468.0917,1821494.948,635561.3457,89888.93269,608533.6011,1732423.877,649737.5435,762600.1361,846116.6842
"NSCLC_H1437_1",1107105.986,92368.82235,225084.583,149658.9117,1149976.279,1306577.709,2386937.6,802728.3053,345864.8827,1044867.464,377669.1186,1617663.099,568534.8039,84579.99092,242116.0697,1419139.504,531985.3086,459612.8875,402230.0367
"NSCLC_H2228_1",1174738.024,79716.72953,156993.444,90737.41356,1962268.398,177505.8543,1397163.917,463010.9798,306187.7022,961230.6243,335751.1361,1615823.141,582776.9029,76509.16145,364058.9286,1712049.824,637511.1714,822515.6724,324327.635
"NSCLC_H2228_2",1202536.587,78543.10781,177756.902,93190.85907,1978721.26,258731.2309,1435649.346,469439.0543,249398.5049,917672.1196,323971.2926,1305062.953,477014.5509,63940.66034,370106.6324,1514598.629,552987.1619,801903.5808,410931.9278
"NSCLC_H1437_2",1227507.881,85554.76639,176479.9671,133280.4,1109062.188,1361577.321,2264753.838,769480.9346,365340.2576,984282.1263,350714.3873,1520010.939,529926.0027,76496.48792,226828.8746,1282982.668,488741.6452,474645.304,437782.2224
"NSCLC_H3122_1",897012.2317,58148.61391,75601.49088,85941.99274,935734.0357,1572857.066,1853504.303,637659.3331,142501.3571,1011282.758,352198.6011,1242783.069,430968.1967,57893.83272,213506.7104,1049991.894,395307.462,274212.8825,335671.1381
"NSCLC_H322_2",976448.8407,89009.23679,238764.6852,142421.0688,1417049.899,637925.2025,1475070.987,498342.7043,176472.3668,1076573.262,386343.2918,1455222.442,522777.7485,72640.37138,479291.4304,1354471.305,499691.8594,632915.1408,258149.2988
"NSCLC_H322_1",759703.1057,89690.57333,269159.808,178466.8909,1464282.459,643472.0442,1792609.57,590421.1491,205041.8888,1249411.812,439053.2859,1748028.143,632058.6098,90570.16308,507060.9125,1565454.598,588681.8174,680748.3839,218248.7268
"NSCLC_H358_2",1293611.346,91824.76032,162358.6979,73594.7858,1222394.842,675152.8029,758469.9848,657717.0298,414079.7997,1075198.024,369502.1697,2116550.522,769578.9715,111234.85,543031.4179,2034832.78,776591.5618,563943.0994,686440.3817
"NSCLC_H3122_2",1081139.815,57737.62081,101443.271,105096.2721,941604.9759,1804847.669,841675.6414,753195.7784,128443.0642,1142556.5,403576.534,1224286.215,438274.4216,63811.01389,195904.9836,1165485.534,440234.7249,344792.9473,386851.5309
"NSCLC_H522_1",1081416.241,94458.64042,196883.1221,111509.6684,1451521.739,413969.087,1734092.508,564595.9705,189409.5925,930758.4903,329983.3712,1998018.301,705124.1678,97030.66732,595743.4329,1114705.74,409419.6288,659595.4275,221597.3073
"NSCLC_H522_2",1144907.468,85781.26997,136875.0512,70484.46825,1574458.674,397123.8712,638094.4124,683342.5182,213515.7924,1067669.606,371442.6635,2297178.243,851263.2069,119457.3175,590611.3165,1281575.813,463701.134,653571.456,197358.9414
"NSCLC_HCC4006_1",934862.6942,67146.55106,207417.4828,126947.1875,1268022.118,670419.2445,1766139.142,597765.9787,481471.5171,970881.7706,336522.9203,1608227.194,570713.3784,85069.93687,502127.2571,1322889.34,484685.917,527221.362,305025.115
